date,k,t,sig,dsig,s,ds
1999-03-08,-2.0,0.0833333333,0.4299507404699874,0.12402467432408104,1282.73,-0.00225554909738257
1999-03-08,-2.0,0.1666666667,0.4460497019204135,0.002028278682302709,1282.73,-0.00225554909738257
1999-03-08,-2.0,0.25,0.4174375321402996,-0.0025013579589218127,1282.73,-0.00225554909738257
1999-03-08,-2.0,0.5,0.38772227879841215,0.011824330388073068,1282.73,-0.00225554909738257
1999-03-08,-2.0,1.0,0.36563225039180236,0.007690759733201991,1282.73,-0.00225554909738257
1999-03-08,-1.5,0.0833333333,0.3776318911276398,0.10810072060650944,1282.73,-0.00225554909738257
1999-03-08,-1.5,0.1666666667,0.3994172404892793,0.0002622484469708697,1282.73,-0.00225554909738257
1999-03-08,-1.5,0.25,0.3799077050258044,-0.0022481952006926376,1282.73,-0.00225554909738257
1999-03-08,-1.5,0.5,0.3609465668798925,0.010501497301750984,1282.73,-0.00225554909738257
1999-03-08,-1.5,1.0,0.3467760910846332,0.006961509669841215,1282.73,-0.00225554909738257
1999-03-08,-1.0,0.0833333333,0.3275391374526916,0.08196731740385665,1282.73,-0.00225554909738257
1999-03-08,-1.0,0.1666666667,0.35044195654106913,-0.0018195805391720832,1282.73,-0.00225554909738257
1999-03-08,-1.0,0.25,0.3396136207186368,-0.0018953146232247864,1282.73,-0.00225554909738257
1999-03-08,-1.0,0.5,0.3310893617018264,0.008062301293987328,1282.73,-0.00225554909738257
1999-03-08,-1.0,1.0,0.3252410986540877,0.005295477727103259,1282.73,-0.00225554909738257
1999-03-08,-0.5,0.0833333333,0.2853352631063192,0.052095125547306775,1282.73,-0.00225554909738257
1999-03-08,-0.5,0.1666666667,0.3050603502171235,-0.0022489839854320515,1282.73,-0.00225554909738257
1999-03-08,-0.5,0.25,0.30096047791599656,-9.309426848225222e-05,1282.73,-0.00225554909738257
1999-03-08,-0.5,0.5,0.30051891513169326,0.005444991665125798,1282.73,-0.00225554909738257
1999-03-08,-0.5,1.0,0.3019110557810242,0.00307774220572532,1282.73,-0.00225554909738257
1999-03-08,0.0,0.0833333333,0.2531000331440114,0.030315010219794214,1282.73,-0.00225554909738257
1999-03-08,0.0,0.1666666667,0.26784880212848905,0.0002979043417212779,1282.73,-0.00225554909738257
1999-03-08,0.0,0.25,0.26769225613268943,0.0037840976901186707,1282.73,-0.00225554909738257
1999-03-08,0.0,0.5,0.2716968256016393,0.004209998514234536,1282.73,-0.00225554909738257
1999-03-08,0.0,1.0,0.2779312784542149,0.0010284448934811952,1282.73,-0.00225554909738257
1999-03-08,0.5,0.0833333333,0.22920455681102092,0.02251335853329728,1282.73,-0.00225554909738257
1999-03-08,0.5,0.1666666667,0.2390754468342079,0.004282127113007128,1282.73,-0.00225554909738257
1999-03-08,0.5,0.25,0.24049877776357775,0.008198715694400338,1282.73,-0.00225554909738257
1999-03-08,0.5,0.5,0.2456774733511756,0.004781055643710452,1282.73,-0.00225554909738257
1999-03-08,0.5,1.0,0.2543902226617878,-0.0004258764488811462,1282.73,-0.00225554909738257
1999-03-08,1.0,0.0833333333,0.21156304426781758,0.03379991405182947,1282.73,-0.00225554909738257
