# uid	ticker	name	region	category	provider	datasource	symbol	frequency	uid	foreign_currency	domestic_currency	bbid	maturity	type
3696	TDSDGSP	Sudanese Dinar To United States Dollar Spot	Sudan	FX	Refinitiv	Datastream	TDSDGSP	B	3696	USD	SDG	USDSDG	0m	Outright
3697	TDSEK1M	Swedish Krona To United States Dollar 1 Month Forward	Sweden	FX	Refinitiv	Datastream	TDSEK1M	B	3697	USD	SEK	USDSEK	1m	Outright
3698	TDSEK1W	Swedish Krona To United States Dollar 1 Week Forward	Sweden	FX	Refinitiv	Datastream	TDSEK1W	B	3698	USD	SEK	USDSEK	1w	Outright
3699	TDSEK1Y	Swedish Krona To United States Dollar 1 Year Forward	Sweden	FX	Refinitiv	Datastream	TDSEK1Y	B	3699	USD	SEK	USDSEK	1y	Outright
3700	TDSEK2M	Swedish Krona To United States Dollar 2 Month Forward	Sweden	FX	Refinitiv	Datastream	TDSEK2M	B	3700	USD	SEK	USDSEK	2m	Outright
3701	TDSEK2W	Swedish Krona To United States Dollar 2 Week Forward	Sweden	FX	Refinitiv	Datastream	TDSEK2W	B	3701	USD	SEK	USDSEK	2w	Outright
3702	TDSEK3M	Swedish Krona To United States Dollar 3 Month Forward	Sweden	FX	Refinitiv	Datastream	TDSEK3M	B	3702	USD	SEK	USDSEK	3m	Outright
3703	TDSEK3W	Swedish Krona To United States Dollar 3 Week Forward	Sweden	FX	Refinitiv	Datastream	TDSEK3W	B	3703	USD	SEK	USDSEK	3w	Outright
3704	TDSEK6M	Swedish Krona To United States Dollar 6 Month Forward	Sweden	FX	Refinitiv	Datastream	TDSEK6M	B	3704	USD	SEK	USDSEK	6m	Outright
3705	TDSEK9M	Swedish Krona To United States Dollar 9 Month Forward	Sweden	FX	Refinitiv	Datastream	TDSEK9M	B	3705	USD	SEK	USDSEK	9m	Outright
3706	TDSEKSP	Swedish Krona To United States Dollar Spot	Sweden	FX	Refinitiv	Datastream	TDSEKSP	B	3706	USD	SEK	USDSEK	0m	Outright
3707	TDSGD1M	Singaporean Dollar To United States Dollar 1 Month Forward	Singapore	FX	Refinitiv	Datastream	TDSGD1M	B	3707	USD	SGD	USDSGD	1m	Outright
3708	TDSGD1W	Singaporean Dollar To United States Dollar 1 Week Forward	Singapore	FX	Refinitiv	Datastream	TDSGD1W	B	3708	USD	SGD	USDSGD	1w	Outright
3709	TDSGD1Y	Singaporean Dollar To United States Dollar 1 Year Forward	Singapore	FX	Refinitiv	Datastream	TDSGD1Y	B	3709	USD	SGD	USDSGD	1y	Outright
3710	TDSGD2M	Singaporean Dollar To United States Dollar 2 Month Forward	Singapore	FX	Refinitiv	Datastream	TDSGD2M	B	3710	USD	SGD	USDSGD	2m	Outright
3711	TDSGD3M	Singaporean Dollar To United States Dollar 3 Month Forward	Singapore	FX	Refinitiv	Datastream	TDSGD3M	B	3711	USD	SGD	USDSGD	3m	Outright
3712	TDSGD6M	Singaporean Dollar To United States Dollar 6 Month Forward	Singapore	FX	Refinitiv	Datastream	TDSGD6M	B	3712	USD	SGD	USDSGD	6m	Outright
3713	TDSGD9M	Singaporean Dollar To United States Dollar 9 Month Forward	Singapore	FX	Refinitiv	Datastream	TDSGD9M	B	3713	USD	SGD	USDSGD	9m	Outright
