# uid	ticker	name	region	category	provider	datasource	symbol	frequency	uid	foreign_currency	domestic_currency	bbid	maturity	type
1910	AUSTDO$	United States Dollar to Australian Dollar Spot	United States	FX	WM/Refinitiv	Datastream	AUSTDO$	B	1910	AUD	USD	AUDUSD	0m	Outright
1911	AUSTDOI	Australian Dollar To United States Dollar Spot	Australia	FX	Refinitiv	Datastream	AUSTDOI	B	1911	USD	AUD	USDAUD	0m	Outright
1912	AUSTRUS	United States Dollar To Australian Dollar Spot	United States	FX	GTIS - FTID/TR	Datastream	AUSTRUS	B	1912	AUD	USD	AUDUSD	0m	Outright
1914	AUSTSC$	Austrian Schilling To United States Dollar Spot	Austria	FX	WM/Refinitiv	Datastream	AUSTSC$	B	1914	USD	ATS	USDATS	0m	Outright
1915	BBAUD1F	Australian Dollar To United States Dollar 1 Month Forward	Australia	FX	Barclays Bank PLC	Datastream	BBAUD1F	B	1915	USD	AUD	USDAUD	1m	Outright
1916	BBAUD2F	Australian Dollar To United States Dollar 2 Month Forward	Australia	FX	Barclays Bank PLC	Datastream	BBAUD2F	B	1916	USD	AUD	USDAUD	2m	Outright
1917	BBAUD3F	Australian Dollar To United States Dollar 3 Month Forward	Australia	FX	Barclays Bank PLC	Datastream	BBAUD3F	B	1917	USD	AUD	USDAUD	3m	Outright
1918	BBAUD6F	Australian Dollar To United States Dollar 6 Month Forward	Australia	FX	Barclays Bank PLC	Datastream	BBAUD6F	B	1918	USD	AUD	USDAUD	6m	Outright
1919	BBAUDSP	Australian Dollar To United States Dollar Spot	Australia	FX	Barclays Bank PLC	Datastream	BBAUDSP	B	1919	USD	AUD	USDAUD	0m	Outright
1920	BBAUDYF	Australian Dollar To United States Dollar 1 Year Forward	Australia	FX	Barclays Bank PLC	Datastream	BBAUDYF	B	1920	USD	AUD	USDAUD	1y	Outright
1921	BBCAD1F	Canadian Dollar To United States Dollar 1 Month Forward	Canada	FX	Barclays Bank PLC	Datastream	BBCAD1F	B	1921	USD	CAD	USDCAD	1m	Outright
1922	BBCAD2F	Canadian Dollar To United States Dollar 2 Month Forward	Canada	FX	Barclays Bank PLC	Datastream	BBCAD2F	B	1922	USD	CAD	USDCAD	2m	Outright
1923	BBCAD3F	Canadian Dollar To United States Dollar 3 Month Forward	Canada	FX	Barclays Bank PLC	Datastream	BBCAD3F	B	1923	USD	CAD	USDCAD	3m	Outright
1924	BBCAD6F	Canadian Dollar To United States Dollar 6 Month Forward	Canada	FX	Barclays Bank PLC	Datastream	BBCAD6F	B	1924	USD	CAD	USDCAD	6m	Outright
1925	BBCADSP	Canadian Dollar To United States Dollar Spot	Canada	FX	Barclays Bank PLC	Datastream	BBCADSP	B	1925	USD	CAD	USDCAD	0m	Outright
1926	BBCADYF	Canadian Dollar To United States Dollar 1 Year Forward	Canada	FX	Barclays Bank PLC	Datastream	BBCADYF	B	1926	USD	CAD	USDCAD	1y	Outright
1927	BBCHF1F	Swiss Franc To United States Dollar 1 Month Forward	Switzerland	FX	Barclays Bank PLC	Datastream	BBCHF1F	B	1927	USD	CHF	USDCHF	1m	Outright
1928	BBCHF2F	Swiss Franc To United States Dollar 2 Month Forward	Switzerland	FX	Barclays Bank PLC	Datastream	BBCHF2F	B	1928	USD	CHF	USDCHF	2m	Outright
1929	BBCHF3F	Swiss Franc To United States Dollar 3 Month Forward	Switzerland	FX	Barclays Bank PLC	Datastream	BBCHF3F	B	1929	USD	CHF	USDCHF	3m	Outright
1930	BBCHF6F	Swiss Franc To United States Dollar 6 Month Forward	Switzerland	FX	Barclays Bank PLC	Datastream	BBCHF6F	B	1930	USD	CHF	USDCHF	6m	Outright
1931	BBCHFSP	Swiss Franc To United States Dollar Spot	Switzerland	FX	Barclays Bank PLC	Datastream	BBCHFSP	B	1931	USD	CHF	USDCHF	0m	Outright
1932	BBCHFYF	Swiss Franc To United States Dollar 1 Year Forward	Switzerland	FX	Barclays Bank PLC	Datastream	BBCHFYF	B	1932	USD	CHF	USDCHF	1y	Outright
1933	BBDEMSP	German Mark To United States Dollar Spot	Germany	FX	Barclays Bank PLC	Datastream	BBDEMSP	B	1933	USD	DEM	USDDEM	0m	Outright
1934	BBDKK1F	Danish Krone To United States Dollar 1 Month Forward	Denmark	FX	Barclays Bank PLC	Datastream	BBDKK1F	B	1934	USD	DKK	USDDKK	1m	Outright
1935	BBDKK2F	Danish Krone To United States Dollar 2 Month Forward	Denmark	FX	Barclays Bank PLC	Datastream	BBDKK2F	B	1935	USD	DKK	USDDKK	2m	Outright
1936	BBDKK3F	Danish Krone To United States Dollar 3 Month Forward	Denmark	FX	Barclays Bank PLC	Datastream	BBDKK3F	B	1936	USD	DKK	USDDKK	3m	Outright
1937	BBDKK6F	Danish Krone To United States Dollar 6 Month Forward	Denmark	FX	Barclays Bank PLC	Datastream	BBDKK6F	B	1937	USD	DKK	USDDKK	6m	Outright
1938	BBDKKSP	Danish Krone To United States Dollar Spot	Denmark	FX	Barclays Bank PLC	Datastream	BBDKKSP	B	1938	USD	DKK	USDDKK	0m	Outright
1939	BBDKKYF	Danish Krone To United States Dollar 1 Year Forward	Denmark	FX	Barclays Bank PLC	Datastream	BBDKKYF	B	1939	USD	DKK	USDDKK	1y	Outright
1940	BBEUR1F	Euro To United States Dollar 1 Month Forward	Eurozone	FX	Barclays Bank PLC	Datastream	BBEUR1F	B	1940	USD	EUR	USDEUR	1m	Outright
1941	BBEUR2F	Euro To United States Dollar 2 Month Forward	Eurozone	FX	Barclays Bank PLC	Datastream	BBEUR2F	B	1941	USD	EUR	USDEUR	2m	Outright
1942	BBEUR3F	Euro To United States Dollar 3 Month Forward	Eurozone	FX	Barclays Bank PLC	Datastream	BBEUR3F	B	1942	USD	EUR	USDEUR	3m	Outright
1943	BBEUR6F	Euro To United States Dollar 6 Month Forward	Eurozone	FX	Barclays Bank PLC	Datastream	BBEUR6F	B	1943	USD	EUR	USDEUR	6m	Outright
1944	BBEURSP	Euro To United States Dollar Spot	Eurozone	FX	Barclays Bank PLC	Datastream	BBEURSP	B	1944	USD	EUR	USDEUR	0m	Outright
1945	BBEURYF	Euro To United States Dollar 1 Year Forward	Eurozone	FX	Barclays Bank PLC	Datastream	BBEURYF	B	1945	USD	EUR	USDEUR	1y	Outright
1946	BBFRFSP	French Franc To United States Dollar Spot	France	FX	Barclays Bank PLC	Datastream	BBFRFSP	B	1946	USD	FRF	USDFRF	0m	Outright
1947	BBGBP1F	United States Dollar To United Kingdom Pound 1 Month Forward	United States	FX	Barclays Bank PLC	Datastream	BBGBP1F	B	1947	GBP	USD	GBPUSD	1m	Outright
1948	BBGBP2F	United States Dollar To United Kingdom Pound 2 Month Forward	United States	FX	Barclays Bank PLC	Datastream	BBGBP2F	B	1948	GBP	USD	GBPUSD	2m	Outright
1949	BBGBP3F	United States Dollar To United Kingdom Pound 3 Month Forward	United States	FX	Barclays Bank PLC	Datastream	BBGBP3F	B	1949	GBP	USD	GBPUSD	3m	Outright
1950	BBGBP6F	United States Dollar To United Kingdom Pound 6 Month Forward	United States	FX	Barclays Bank PLC	Datastream	BBGBP6F	B	1950	GBP	USD	GBPUSD	6m	Outright
1951	BBGBPSP	United States Dollar To United Kingdom Pound Spot	United States	FX	Barclays Bank PLC	Datastream	BBGBPSP	B	1951	GBP	USD	GBPUSD	0m	Outright
1952	BBGBPYF	United States Dollar To United Kingdom Pound 1 Year Forward	United States	FX	Barclays Bank PLC	Datastream	BBGBPYF	B	1952	GBP	USD	GBPUSD	1y	Outright
1953	BBIEPSP	United States Dollar To Irish Pound Spot	United States	FX	Barclays Bank PLC	Datastream	BBIEPSP	B	1953	IEP	USD	IEPUSD	0m	Outright
1954	BBITLSP	Italian Lira To United States Dollar Spot	Italy	FX	Barclays Bank PLC	Datastream	BBITLSP	B	1954	USD	ITL	USDITL	0m	Outright
1955	BBJPY1F	Japanese Yen To United States Dollar 1 Month Forward	Japan	FX	Barclays Bank PLC	Datastream	BBJPY1F	B	1955	USD	JPY	USDJPY	1m	Outright
1956	BBJPY2F	Japanese Yen To United States Dollar 2 Month Forward	Japan	FX	Barclays Bank PLC	Datastream	BBJPY2F	B	1956	USD	JPY	USDJPY	2m	Outright
1957	BBJPY3F	Japanese Yen To United States Dollar 3 Month Forward	Japan	FX	Barclays Bank PLC	Datastream	BBJPY3F	B	1957	USD	JPY	USDJPY	3m	Outright
1958	BBJPY6F	Japanese Yen To United States Dollar 6 Month Forward	Japan	FX	Barclays Bank PLC	Datastream	BBJPY6F	B	1958	USD	JPY	USDJPY	6m	Outright
1959	BBJPYSP	Japanese Yen To United States Dollar Spot	Japan	FX	Barclays Bank PLC	Datastream	BBJPYSP	B	1959	USD	JPY	USDJPY	0m	Outright
1960	BBJPYYF	Japanese Yen To United States Dollar 1 Year Forward	Japan	FX	Barclays Bank PLC	Datastream	BBJPYYF	B	1960	USD	JPY	USDJPY	1y	Outright
1961	BBNLGSP	Dutch Guilder To United States Dollar Spot	Netherlands	FX	Barclays Bank PLC	Datastream	BBNLGSP	B	1961	USD	NLG	USDNLG	0m	Outright
1962	BBNOK1F	Norwegian Krone To United States Dollar 1 Month Forward	Norway	FX	Barclays Bank PLC	Datastream	BBNOK1F	B	1962	USD	NOK	USDNOK	1m	Outright
1963	BBNOK2F	Norwegian Krone To United States Dollar 2 Month Forward	Norway	FX	Barclays Bank PLC	Datastream	BBNOK2F	B	1963	USD	NOK	USDNOK	2m	Outright
1964	BBNOK3F	Norwegian Krone To United States Dollar 3 Month Forward	Norway	FX	Barclays Bank PLC	Datastream	BBNOK3F	B	1964	USD	NOK	USDNOK	3m	Outright
1965	BBNOK6F	Norwegian Krone To United States Dollar 6 Month Forward	Norway	FX	Barclays Bank PLC	Datastream	BBNOK6F	B	1965	USD	NOK	USDNOK	6m	Outright
1966	BBNOKSP	Norwegian Krone To United States Dollar Spot	Norway	FX	Barclays Bank PLC	Datastream	BBNOKSP	B	1966	USD	NOK	USDNOK	0m	Outright
1967	BBNOKYF	Norwegian Krone To United States Dollar 1 Year Forward	Norway	FX	Barclays Bank PLC	Datastream	BBNOKYF	B	1967	USD	NOK	USDNOK	1y	Outright
1968	BBNZD1F	New Zealand Dollar To United States Dollar 1 Month Forward	New Zealand	FX	Barclays Bank PLC	Datastream	BBNZD1F	B	1968	USD	NZD	USDNZD	1m	Outright
1969	BBNZD2F	New Zealand Dollar To United States Dollar 2 Month Forward	New Zealand	FX	Barclays Bank PLC	Datastream	BBNZD2F	B	1969	USD	NZD	USDNZD	2m	Outright
1970	BBNZD3F	New Zealand Dollar To United States Dollar 3 Month Forward	New Zealand	FX	Barclays Bank PLC	Datastream	BBNZD3F	B	1970	USD	NZD	USDNZD	3m	Outright
1971	BBNZD6F	New Zealand Dollar To United States Dollar 6 Month Forward	New Zealand	FX	Barclays Bank PLC	Datastream	BBNZD6F	B	1971	USD	NZD	USDNZD	6m	Outright
1972	BBNZDSP	New Zealand Dollar To United States Dollar Spot	New Zealand	FX	Barclays Bank PLC	Datastream	BBNZDSP	B	1972	USD	NZD	USDNZD	0m	Outright
1973	BBNZDYF	New Zealand Dollar To United States Dollar 1 Year Forward	New Zealand	FX	Barclays Bank PLC	Datastream	BBNZDYF	B	1973	USD	NZD	USDNZD	1y	Outright
1974	BBSEK1F	Swedish Krona To United States Dollar 1 Month Forward	Sweden	FX	Barclays Bank PLC	Datastream	BBSEK1F	B	1974	USD	SEK	USDSEK	1m	Outright
1975	BBSEK2F	Swedish Krona To United States Dollar 2 Month Forward	Sweden	FX	Barclays Bank PLC	Datastream	BBSEK2F	B	1975	USD	SEK	USDSEK	2m	Outright
1976	BBSEK3F	Swedish Krona To United States Dollar 3 Month Forward	Sweden	FX	Barclays Bank PLC	Datastream	BBSEK3F	B	1976	USD	SEK	USDSEK	3m	Outright
1977	BBSEK6F	Swedish Krona To United States Dollar 6 Month Forward	Sweden	FX	Barclays Bank PLC	Datastream	BBSEK6F	B	1977	USD	SEK	USDSEK	6m	Outright
1978	BBSEKSP	Swedish Krona To United States Dollar Spot	Sweden	FX	Barclays Bank PLC	Datastream	BBSEKSP	B	1978	USD	SEK	USDSEK	0m	Outright
1979	BBSEKYF	Swedish Krona To United States Dollar 1 Year Forward	Sweden	FX	Barclays Bank PLC	Datastream	BBSEKYF	B	1979	USD	SEK	USDSEK	1y	Outright
1980	BBZAR1F	South African Rand To United States Dollar 1 Month Forward	South Africa	FX	Barclays Bank PLC	Datastream	BBZAR1F	B	1980	USD	ZAR	USDZAR	1m	Outright
1981	BBZAR2F	South African Rand To United States Dollar 2 Month Forward	South Africa	FX	Barclays Bank PLC	Datastream	BBZAR2F	B	1981	USD	ZAR	USDZAR	2m	Outright
1982	BBZAR3F	South African Rand To United States Dollar 3 Month Forward	South Africa	FX	Barclays Bank PLC	Datastream	BBZAR3F	B	1982	USD	ZAR	USDZAR	3m	Outright
1983	BBZAR6F	South African Rand To United States Dollar 6 Month Forward	South Africa	FX	Barclays Bank PLC	Datastream	BBZAR6F	B	1983	USD	ZAR	USDZAR	6m	Outright
1984	BBZARSP	South African Rand To United States Dollar Spot	South Africa	FX	Barclays Bank PLC	Datastream	BBZARSP	B	1984	USD	ZAR	USDZAR	0m	Outright
1985	BBZARYF	South African Rand To United States Dollar 1 Year Forward	South Africa	FX	Barclays Bank PLC	Datastream	BBZARYF	B	1985	USD	ZAR	USDZAR	1y	Outright
1986	BELGLU$	Belgian Franc To United States Dollar Spot	Belgium	FX	WM/Refinitiv	Datastream	BELGLU$	B	1986	USD	BEF	USDBEF	0m	Outright
1989	BHUTNL$	Bhutanese Ngultrum To United States Dollar Spot	Bhutan	FX	WM/Refinitiv	Datastream	BHUTNL$	B	1989	USD	INR	USDINR	0m	Outright
1990	BRACRU$	Brazilian Real To United States Dollar Spot	Brazil	FX	WM/Refinitiv	Datastream	BRACRU$	B	1990	USD	BRL	USDBRL	0m	Outright
1991	BRITPUS	United States Dollar To United Kingdom Pound Spot	United States	FX	GTIS - FTID/TR	Datastream	BRITPUS	B	1991	GBP	USD	GBPUSD	0m	Outright
1992	CISRUB$	Russian Federation Ruble To United States Dollar Spot	Russia	FX	WM/Refinitiv	Datastream	CISRUB$	B	1992	USD	RUB	USDRUB	0m	Outright
1995	CNDOLL$	Canadian Dollar To United States Dollar Spot	Canada	FX	WM/Refinitiv	Datastream	CNDOLL$	B	1995	USD	CAD	USDCAD	0m	Outright
1996	CNHDOL$	Chinese Yuan Offshore To United States Dollar Spot	China	FX	WM/Refinitiv	Datastream	CNHDOL$	B	1996	USD	CNH	USDCNH	0m	Outright
1997	CNHDOLX	Chinese Yuan Offshore To United States Dollar Spot	China	FX	WM/Refinitiv	Datastream	CNHDOLX	B	1997	USD	CNH	USDCNH	0m	Outright
1998	COMRAN$	South African Rand To United States Dollar Spot	South Africa	FX	WM/Refinitiv	Datastream	COMRAN$	B	1998	USD	ZAR	USDZAR	0m	Outright
1999	CZECHC$	Czech Koruna To United States Dollar Spot	Czech Republic	FX	WM/Refinitiv	Datastream	CZECHC$	B	1999	USD	CZK	USDCZK	0m	Outright
2002	DANISH$	Danish Krone To United States Dollar Spot	Denmark	FX	WM/Refinitiv	Datastream	DANISH$	B	2002	USD	DKK	USDDKK	0m	Outright
2005	DMARKE$	German Mark To United States Dollar Spot	Germany	FX	WM/Refinitiv	Datastream	DMARKE$	B	2005	USD	DEM	USDDEM	0m	Outright
2006	ECURRS$	United States Dollar To European Currency Unit Spot	United States	FX	WM/Refinitiv	Datastream	ECURRS$	B	2006	ECU	USD	ECUUSD	0m	Outright
2007	EUDOL1F	Euro To United States Dollar 1 Month Forward	Eurozone	FX	Refinitiv	Datastream	EUDOL1F	B	2007	USD	EUR	USDEUR	1m	Outright
2008	EUDOL1W	Euro To United States Dollar 1 Week Forward	Eurozone	FX	Refinitiv	Datastream	EUDOL1W	B	2008	USD	EUR	USDEUR	1w	Outright
2009	EUDOL1Y	Euro To United States Dollar 1 Year Forward	Eurozone	FX	Refinitiv	Datastream	EUDOL1Y	B	2009	USD	EUR	USDEUR	1y	Outright
2010	EUDOL2F	Euro To United States Dollar 2 Month Forward	Eurozone	FX	Refinitiv	Datastream	EUDOL2F	B	2010	USD	EUR	USDEUR	2m	Outright
2011	EUDOL2Y	Euro To United States Dollar 2 Year Forward	Eurozone	FX	Refinitiv	Datastream	EUDOL2Y	B	2011	USD	EUR	USDEUR	2y	Outright
2012	EUDOL3F	Euro To United States Dollar 3 Month Forward	Eurozone	FX	Refinitiv	Datastream	EUDOL3F	B	2012	USD	EUR	USDEUR	3m	Outright
2013	EUDOL5Y	Euro To United States Dollar 5 Year Forward	Eurozone	FX	Refinitiv	Datastream	EUDOL5Y	B	2013	USD	EUR	USDEUR	5y	Outright
2014	EUDOL6F	Euro To United States Dollar 6 Month Forward	Eurozone	FX	Refinitiv	Datastream	EUDOL6F	B	2014	USD	EUR	USDEUR	6m	Outright
2015	EUDOL9F	Euro To United States Dollar 9 Month Forward	Eurozone	FX	Refinitiv	Datastream	EUDOL9F	B	2015	USD	EUR	USDEUR	9m	Outright
2016	EUDOLLR	Euro To United States Dollar Spot	Eurozone	FX	Refinitiv	Datastream	EUDOLLR	B	2016	USD	EUR	USDEUR	0m	Outright
2017	EUDOLON	Euro To United States Dollar Overnight	Eurozone	FX	Refinitiv	Datastream	EUDOLON	B	2017	USD	EUR	USDEUR	ON	Outright
2018	EUDOLTN	Euro To United States Dollar Tomorrow-Next	Eurozone	FX	Refinitiv	Datastream	EUDOLTN	B	2018	USD	EUR	USDEUR	TN	Outright
2019	EURO.US	United States Dollar To Euro Spot	United States	FX	GTIS - FTID/TR	Datastream	EURO.US	B	2019	EUR	USD	EURUSD	0m	Outright
2020	FINMAR$	Finnish Markka To United States Dollar Spot	Finland	FX	WM/Refinitiv	Datastream	FINMAR$	B	2020	USD	FIM	USDFIM	0m	Outright
2023	FRENFR$	French Franc To United States Dollar Spot	France	FX	WM/Refinitiv	Datastream	FRENFR$	B	2023	USD	FRF	USDFRF	0m	Outright
2026	GUILDE$	Dutch Guilder To United States Dollar Spot	Netherlands	FX	WM/Refinitiv	Datastream	GUILDE$	B	2026	USD	NLG	USDNLG	0m	Outright
2027	HUNFOR$	Hungarian Forint To United States Dollar Spot	Hungary	FX	WM/Refinitiv	Datastream	HUNFOR$	B	2027	USD	HUF	USDHUF	0m	Outright
2028	IDUSN1M	Indonesian Rupiah To United States Dollar 1 Month Forward	Indonesia	FX	WM/Refinitiv	Datastream	IDUSN1M	B	2028	USD	IDR	USDIDR	1m	Outright
2029	IDUSN1Y	Indonesian Rupiah To United States Dollar 1 Year Forward	Indonesia	FX	WM/Refinitiv	Datastream	IDUSN1Y	B	2029	USD	IDR	USDIDR	1y	Outright
2030	IDUSN2M	Indonesian Rupiah To United States Dollar 2 Month Forward	Indonesia	FX	WM/Refinitiv	Datastream	IDUSN2M	B	2030	USD	IDR	USDIDR	2m	Outright
2031	IDUSN2Y	Indonesian Rupiah To United States Dollar 2 Year Forward	Indonesia	FX	WM/Refinitiv	Datastream	IDUSN2Y	B	2031	USD	IDR	USDIDR	2y	Outright
2032	IDUSN3M	Indonesian Rupiah To United States Dollar 3 Month Forward	Indonesia	FX	WM/Refinitiv	Datastream	IDUSN3M	B	2032	USD	IDR	USDIDR	3m	Outright
2033	IDUSN6M	Indonesian Rupiah To United States Dollar 6 Month Forward	Indonesia	FX	WM/Refinitiv	Datastream	IDUSN6M	B	2033	USD	IDR	USDIDR	6m	Outright
2034	IDUSN9M	Indonesian Rupiah To United States Dollar 9 Month Forward	Indonesia	FX	WM/Refinitiv	Datastream	IDUSN9M	B	2034	USD	IDR	USDIDR	9m	Outright
2035	IDUSNSW	Indonesian Rupiah To United States Dollar Spot-Week	Indonesia	FX	WM/Refinitiv	Datastream	IDUSNSW	B	2035	USD	IDR	USDIDR	SW	Outright
2036	INDORU$	Indonesian Rupiah To United States Dollar Spot	Indonesia	FX	WM/Refinitiv	Datastream	INDORU$	B	2036	USD	IDR	USDIDR	0m	Outright
2037	INDRUP$	Indian Rupee To United States Dollar Spot	India	FX	WM/Refinitiv	Datastream	INDRUP$	B	2037	USD	INR	USDINR	0m	Outright
2038	INUSN1M	Indian Rupee To United States Dollar 1 Month Forward	India	FX	WM/Refinitiv	Datastream	INUSN1M	B	2038	USD	INR	USDINR	1m	Outright
2039	INUSN1Y	Indian Rupee To United States Dollar 1 Year Forward	India	FX	WM/Refinitiv	Datastream	INUSN1Y	B	2039	USD	INR	USDINR	1y	Outright
2040	INUSN2M	Indian Rupee To United States Dollar 2 Month Forward	India	FX	WM/Refinitiv	Datastream	INUSN2M	B	2040	USD	INR	USDINR	2m	Outright
2041	INUSN2Y	Indian Rupee To United States Dollar 2 Year Forward	India	FX	WM/Refinitiv	Datastream	INUSN2Y	B	2041	USD	INR	USDINR	2y	Outright
2042	INUSN3M	Indian Rupee To United States Dollar 3 Month Forward	India	FX	WM/Refinitiv	Datastream	INUSN3M	B	2042	USD	INR	USDINR	3m	Outright
2043	INUSN6M	Indian Rupee To United States Dollar 6 Month Forward	India	FX	WM/Refinitiv	Datastream	INUSN6M	B	2043	USD	INR	USDINR	6m	Outright
2044	INUSN9M	Indian Rupee To United States Dollar 9 Month Forward	India	FX	WM/Refinitiv	Datastream	INUSN9M	B	2044	USD	INR	USDINR	9m	Outright
2045	INUSNSW	Indian Rupee To United States Dollar Spot-Week	India	FX	WM/Refinitiv	Datastream	INUSNSW	B	2045	USD	INR	USDINR	SW	Outright
2048	IPUNTE$	United States Dollar To Irish Pound Spot	United States	FX	WM/Refinitiv	Datastream	IPUNTE$	B	2048	IEP	USD	IEPUSD	0m	Outright
2049	IPUNTEI	Irish Pound To United States Dollar Spot	Ireland	FX	Refinitiv	Datastream	IPUNTEI	B	2049	USD	IEP	USDIEP	0m	Outright
2050	IRISHUS	United States Dollar To Irish Pound Spot	United States	FX	GTIS - FTID/TR	Datastream	IRISHUS	B	2050	IEP	USD	IEPUSD	0m	Outright
2051	ISRSHE$	Israeli Sheqel To United States Dollar Spot	Israel	FX	WM/Refinitiv	Datastream	ISRSHE$	B	2051	USD	ILS	USDILS	0m	Outright
2052	ITALIR$	Italian Lira To United States Dollar Spot	Italy	FX	WM/Refinitiv	Datastream	ITALIR$	B	2052	USD	ITL	USDITL	0m	Outright
2055	JAPAYE$	Japanese Yen To United States Dollar Spot	Japan	FX	WM/Refinitiv	Datastream	JAPAYE$	B	2055	USD	JPY	USDJPY	0m	Outright
2058	KORSWO$	South Korean Won To United States Dollar Spot	South Korea	FX	WM/Refinitiv	Datastream	KORSWO$	B	2058	USD	KRW	USDKRW	0m	Outright
2059	KOUSN1M	South Korean Won To United States Dollar 1 Month Forward	South Korea	FX	WM/Refinitiv	Datastream	KOUSN1M	B	2059	USD	KRW	USDKRW	1m	Outright
2060	KOUSN1Y	South Korean Won To United States Dollar 1 Year Forward	South Korea	FX	WM/Refinitiv	Datastream	KOUSN1Y	B	2060	USD	KRW	USDKRW	1y	Outright
2061	KOUSN2M	South Korean Won To United States Dollar 2 Month Forward	South Korea	FX	WM/Refinitiv	Datastream	KOUSN2M	B	2061	USD	KRW	USDKRW	2m	Outright
2062	KOUSN2Y	South Korean Won To United States Dollar 2 Year Forward	South Korea	FX	WM/Refinitiv	Datastream	KOUSN2Y	B	2062	USD	KRW	USDKRW	2y	Outright
2063	KOUSN3M	South Korean Won To United States Dollar 3 Month Forward	South Korea	FX	WM/Refinitiv	Datastream	KOUSN3M	B	2063	USD	KRW	USDKRW	3m	Outright
2064	KOUSN6M	South Korean Won To United States Dollar 6 Month Forward	South Korea	FX	WM/Refinitiv	Datastream	KOUSN6M	B	2064	USD	KRW	USDKRW	6m	Outright
2065	KOUSN9M	South Korean Won To United States Dollar 9 Month Forward	South Korea	FX	WM/Refinitiv	Datastream	KOUSN9M	B	2065	USD	KRW	USDKRW	9m	Outright
2066	KOUSNSW	South Korean Won To United States Dollar Spot-Week	South Korea	FX	WM/Refinitiv	Datastream	KOUSNSW	B	2066	USD	KRW	USDKRW	SW	Outright
2067	MEXPES$	Mexican Peso To United States Dollar Spot	Mexico	FX	WM/Refinitiv	Datastream	MEXPES$	B	2067	USD	MXN	USDMXN	0m	Outright
2068	NEWZDUS	United States Dollar To New Zealand Dollar Spot	United States	FX	GTIS - FTID/TR	Datastream	NEWZDUS	B	2068	NZD	USD	NZDUSD	0m	Outright
2069	NORKRO$	Norwegian Krone To United States Dollar Spot	Norway	FX	WM/Refinitiv	Datastream	NORKRO$	B	2069	USD	NOK	USDNOK	0m	Outright
2070	NZDOLL$	United States Dollar To New Zealand Dollar Spot	United States	FX	WM/Refinitiv	Datastream	NZDOLL$	B	2070	NZD	USD	NZDUSD	0m	Outright
2071	NZDOLLI	New Zealand Dollar To United States Dollar Spot	New Zealand	FX	Refinitiv	Datastream	NZDOLLI	B	2071	USD	NZD	USDNZD	0m	Outright
2072	PORTES$	Portuguese Escudo To United States Dollar Spot	Portugal	FX	WM/Refinitiv	Datastream	PORTES$	B	2072	USD	PTE	USDPTE	0m	Outright
2075	RSUSN1M	Russian Federation Ruble To United States Dollar 1 Month Forward	Russia	FX	WM/Refinitiv	Datastream	RSUSN1M	B	2075	USD	RUB	USDRUB	1m	Outright
2076	RSUSN1Y	Russian Federation Ruble To United States Dollar 1 Year Forward	Russia	FX	WM/Refinitiv	Datastream	RSUSN1Y	B	2076	USD	RUB	USDRUB	1y	Outright
2077	RSUSN2M	Russian Federation Ruble To United States Dollar 2 Month Forward	Russia	FX	WM/Refinitiv	Datastream	RSUSN2M	B	2077	USD	RUB	USDRUB	2m	Outright
2078	RSUSN3M	Russian Federation Ruble To United States Dollar 3 Month Forward	Russia	FX	WM/Refinitiv	Datastream	RSUSN3M	B	2078	USD	RUB	USDRUB	3m	Outright
2079	RSUSN6M	Russian Federation Ruble To United States Dollar 6 Month Forward	Russia	FX	WM/Refinitiv	Datastream	RSUSN6M	B	2079	USD	RUB	USDRUB	6m	Outright
2080	RSUSN9M	Russian Federation Ruble To United States Dollar 9 Month Forward	Russia	FX	WM/Refinitiv	Datastream	RSUSN9M	B	2080	USD	RUB	USDRUB	9m	Outright
2083	SPANPE$	Spanish Peseta To United States Dollar Spot	Spain	FX	WM/Refinitiv	Datastream	SPANPE$	B	2083	USD	ESP	USDESP	0m	Outright
2086	SWEKRO$	Swedish Krona To United States Dollar Spot	Sweden	FX	WM/Refinitiv	Datastream	SWEKRO$	B	2086	USD	SEK	USDSEK	0m	Outright
2089	SWISSF$	Swiss Franc To United States Dollar Spot	Switzerland	FX	WM/Refinitiv	Datastream	SWISSF$	B	2089	USD	CHF	USDCHF	0m	Outright
2090	TAIWDO$	Taiwanese Dollar To United States Dollar Spot	Taiwan	FX	WM/Refinitiv	Datastream	TAIWDO$	B	2090	USD	TWD	USDTWD	0m	Outright
2091	THABAH$	Thai Baht To United States Dollar Spot	Thailand	FX	WM/Refinitiv	Datastream	THABAH$	B	2091	USD	THB	USDTHB	0m	Outright
2092	THABAX$	Thai Baht To United States Dollar Spot	Thailand	FX	WM/Refinitiv	Datastream	THABAX$	B	2092	USD	THB	USDTHB	0m	Outright
2093	TURKLI$	New Turkish Lira To United States Dollar Spot	Turkey	FX	WM/Refinitiv	Datastream	TURKLI$	B	2093	USD	TRY	USDTRY	0m	Outright
2094	TURKLO$	Old Turkish Lira To United States Dollar Spot	Turkey	FX	WM/Refinitiv	Datastream	TURKLO$	B	2094	USD	TRL	USDTRL	0m	Outright
2095	TWUSN1M	Taiwanese Dollar To United States Dollar 1 Month Forward	Taiwan	FX	WM/Refinitiv	Datastream	TWUSN1M	B	2095	USD	TWD	USDTWD	1m	Outright
