,,DY,RI,PI,MV
MSARGT$,1969-12-31,,,,
MSARGT$,1970-01-01,,,,
MSARGT$,1970-01-02,,,,
MSARGT$,1970-01-05,,,,
MSARGT$,1970-01-06,,,,
MSARGT$,1970-01-07,,,,
MSARGT$,1970-01-08,,,,
MSARGT$,1970-01-09,,,,
MSARGT$,1970-01-12,,,,
MSARGT$,1970-01-13,,,,
MSARGT$,1970-01-14,,,,
MSARGT$,1970-01-15,,,,
MSARGT$,1970-01-16,,,,
MSARGT$,1970-01-19,,,,
MSARGT$,1970-01-20,,,,
MSARGT$,1970-01-21,,,,
MSARGT$,1970-01-22,,,,
MSARGT$,1970-01-23,,,,
MSARGT$,1970-01-26,,,,
MSARGT$,1970-01-27,,,,
MSARGT$,1970-01-28,,,,
MSARGT$,1970-01-29,,,,
MSARGT$,1970-01-30,,,,
MSARGT$,1970-02-02,,,,
MSARGT$,1970-02-03,,,,
MSARGT$,1970-02-04,,,,
MSARGT$,1970-02-05,,,,
MSARGT$,1970-02-06,,,,
MSARGT$,1970-02-09,,,,
MSARGT$,1970-02-10,,,,
MSARGT$,1970-02-11,,,,
MSARGT$,1970-02-12,,,,
MSARGT$,1970-02-13,,,,
MSARGT$,1970-02-16,,,,
MSARGT$,1970-02-17,,,,
MSARGT$,1970-02-18,,,,
MSARGT$,1970-02-19,,,,
MSARGT$,1970-02-20,,,,
MSARGT$,1970-02-23,,,,
MSARGT$,1970-02-24,,,,
MSARGT$,1970-02-25,,,,
MSARGT$,1970-02-26,,,,
MSARGT$,1970-02-27,,,,
MSARGT$,1970-03-02,,,,
MSARGT$,1970-03-03,,,,
MSARGT$,1970-03-04,,,,
MSARGT$,1970-03-05,,,,
MSARGT$,1970-03-06,,,,
MSARGT$,1970-03-09,,,,
MSARGT$,1970-03-10,,,,
MSARGT$,1970-03-11,,,,
MSARGT$,1970-03-12,,,,
MSARGT$,1970-03-13,,,,
MSARGT$,1970-03-16,,,,
MSARGT$,1970-03-17,,,,
MSARGT$,1970-03-18,,,,
MSARGT$,1970-03-19,,,,
MSARGT$,1970-03-20,,,,
MSARGT$,1970-03-23,,,,
MSARGT$,1970-03-24,,,,
MSARGT$,1970-03-25,,,,
MSARGT$,1970-03-26,,,,
MSARGT$,1970-03-27,,,,
MSARGT$,1970-03-30,,,,
MSARGT$,1970-03-31,,,,
MSARGT$,1970-04-01,,,,
MSARGT$,1970-04-02,,,,
MSARGT$,1970-04-03,,,,
MSARGT$,1970-04-06,,,,
MSARGT$,1970-04-07,,,,
MSARGT$,1970-04-08,,,,
MSARGT$,1970-04-09,,,,
MSARGT$,1970-04-10,,,,
MSARGT$,1970-04-13,,,,
MSARGT$,1970-04-14,,,,
MSARGT$,1970-04-15,,,,
MSARGT$,1970-04-16,,,,
MSARGT$,1970-04-17,,,,
MSARGT$,1970-04-20,,,,
MSARGT$,1970-04-21,,,,
MSARGT$,1970-04-22,,,,
MSARGT$,1970-04-23,,,,
MSARGT$,1970-04-24,,,,
MSARGT$,1970-04-27,,,,
MSARGT$,1970-04-28,,,,
MSARGT$,1970-04-29,,,,
MSARGT$,1970-04-30,,,,
MSARGT$,1970-05-01,,,,
MSARGT$,1970-05-04,,,,
MSARGT$,1970-05-05,,,,
MSARGT$,1970-05-06,,,,
MSARGT$,1970-05-07,,,,
MSARGT$,1970-05-08,,,,
MSARGT$,1970-05-11,,,,
MSARGT$,1970-05-12,,,,
MSARGT$,1970-05-13,,,,
MSARGT$,1970-05-14,,,,
MSARGT$,1970-05-15,,,,
MSARGT$,1970-05-18,,,,
MSARGT$,1970-05-19,,,,
MSARGT$,1970-05-20,,,,
MSARGT$,1970-05-21,,,,
MSARGT$,1970-05-22,,,,
MSARGT$,1970-05-25,,,,
MSARGT$,1970-05-26,,,,
MSARGT$,1970-05-27,,,,
MSARGT$,1970-05-28,,,,
MSARGT$,1970-05-29,,,,
MSARGT$,1970-06-01,,,,
MSARGT$,1970-06-02,,,,
MSARGT$,1970-06-03,,,,
MSARGT$,1970-06-04,,,,
MSARGT$,1970-06-05,,,,
MSARGT$,1970-06-08,,,,
MSARGT$,1970-06-09,,,,
MSARGT$,1970-06-10,,,,
MSARGT$,1970-06-11,,,,
MSARGT$,1970-06-12,,,,
MSARGT$,1970-06-15,,,,
MSARGT$,1970-06-16,,,,
MSARGT$,1970-06-17,,,,
MSARGT$,1970-06-18,,,,
MSARGT$,1970-06-19,,,,
MSARGT$,1970-06-22,,,,
MSARGT$,1970-06-23,,,,
MSARGT$,1970-06-24,,,,
MSARGT$,1970-06-25,,,,
MSARGT$,1970-06-26,,,,
MSARGT$,1970-06-29,,,,
MSARGT$,1970-06-30,,,,
MSARGT$,1970-07-01,,,,
MSARGT$,1970-07-02,,,,
MSARGT$,1970-07-03,,,,
MSARGT$,1970-07-06,,,,
MSARGT$,1970-07-07,,,,
MSARGT$,1970-07-08,,,,
MSARGT$,1970-07-09,,,,
MSARGT$,1970-07-10,,,,
MSARGT$,1970-07-13,,,,
MSARGT$,1970-07-14,,,,
MSARGT$,1970-07-15,,,,
MSARGT$,1970-07-16,,,,
MSARGT$,1970-07-17,,,,
MSARGT$,1970-07-20,,,,
MSARGT$,1970-07-21,,,,
MSARGT$,1970-07-22,,,,
MSARGT$,1970-07-23,,,,
MSARGT$,1970-07-24,,,,
MSARGT$,1970-07-27,,,,
MSARGT$,1970-07-28,,,,
MSARGT$,1970-07-29,,,,
MSARGT$,1970-07-30,,,,
MSARGT$,1970-07-31,,,,
MSARGT$,1970-08-03,,,,
MSARGT$,1970-08-04,,,,
MSARGT$,1970-08-05,,,,
MSARGT$,1970-08-06,,,,
MSARGT$,1970-08-07,,,,
MSARGT$,1970-08-10,,,,
MSARGT$,1970-08-11,,,,
MSARGT$,1970-08-12,,,,
MSARGT$,1970-08-13,,,,
MSARGT$,1970-08-14,,,,
MSARGT$,1970-08-17,,,,
MSARGT$,1970-08-18,,,,
MSARGT$,1970-08-19,,,,
MSARGT$,1970-08-20,,,,
MSARGT$,1970-08-21,,,,
MSARGT$,1970-08-24,,,,
MSARGT$,1970-08-25,,,,
MSARGT$,1970-08-26,,,,
MSARGT$,1970-08-27,,,,
MSARGT$,1970-08-28,,,,
MSARGT$,1970-08-31,,,,
MSARGT$,1970-09-01,,,,
MSARGT$,1970-09-02,,,,
MSARGT$,1970-09-03,,,,
MSARGT$,1970-09-04,,,,
MSARGT$,1970-09-07,,,,
MSARGT$,1970-09-08,,,,
MSARGT$,1970-09-09,,,,
MSARGT$,1970-09-10,,,,
MSARGT$,1970-09-11,,,,
MSARGT$,1970-09-14,,,,
MSARGT$,1970-09-15,,,,
MSARGT$,1970-09-16,,,,
MSARGT$,1970-09-17,,,,
MSARGT$,1970-09-18,,,,
MSARGT$,1970-09-21,,,,
MSARGT$,1970-09-22,,,,
MSARGT$,1970-09-23,,,,
MSARGT$,1970-09-24,,,,
MSARGT$,1970-09-25,,,,
MSARGT$,1970-09-28,,,,
MSARGT$,1970-09-29,,,,
MSARGT$,1970-09-30,,,,
MSARGT$,1970-10-01,,,,
MSARGT$,1970-10-02,,,,
MSARGT$,1970-10-05,,,,
MSARGT$,1970-10-06,,,,
MSARGT$,1970-10-07,,,,
MSARGT$,1970-10-08,,,,
MSARGT$,1970-10-09,,,,
MSARGT$,1970-10-12,,,,
MSARGT$,1970-10-13,,,,
MSARGT$,1970-10-14,,,,
MSARGT$,1970-10-15,,,,
MSARGT$,1970-10-16,,,,
MSARGT$,1970-10-19,,,,
MSARGT$,1970-10-20,,,,
MSARGT$,1970-10-21,,,,
MSARGT$,1970-10-22,,,,
MSARGT$,1970-10-23,,,,
MSARGT$,1970-10-26,,,,
MSARGT$,1970-10-27,,,,
MSARGT$,1970-10-28,,,,
MSARGT$,1970-10-29,,,,
MSARGT$,1970-10-30,,,,
MSARGT$,1970-11-02,,,,
MSARGT$,1970-11-03,,,,
MSARGT$,1970-11-04,,,,
MSARGT$,1970-11-05,,,,
MSARGT$,1970-11-06,,,,
MSARGT$,1970-11-09,,,,
MSARGT$,1970-11-10,,,,
MSARGT$,1970-11-11,,,,
MSARGT$,1970-11-12,,,,
MSARGT$,1970-11-13,,,,
MSARGT$,1970-11-16,,,,
MSARGT$,1970-11-17,,,,
MSARGT$,1970-11-18,,,,
MSARGT$,1970-11-19,,,,
MSARGT$,1970-11-20,,,,
MSARGT$,1970-11-23,,,,
MSARGT$,1970-11-24,,,,
MSARGT$,1970-11-25,,,,
MSARGT$,1970-11-26,,,,
MSARGT$,1970-11-27,,,,
MSARGT$,1970-11-30,,,,
MSARGT$,1970-12-01,,,,
MSARGT$,1970-12-02,,,,
MSARGT$,1970-12-03,,,,
MSARGT$,1970-12-04,,,,
MSARGT$,1970-12-07,,,,
MSARGT$,1970-12-08,,,,
MSARGT$,1970-12-09,,,,
MSARGT$,1970-12-10,,,,
MSARGT$,1970-12-11,,,,
MSARGT$,1970-12-14,,,,
MSARGT$,1970-12-15,,,,
MSARGT$,1970-12-16,,,,
MSARGT$,1970-12-17,,,,
MSARGT$,1970-12-18,,,,
MSARGT$,1970-12-21,,,,
MSARGT$,1970-12-22,,,,
MSARGT$,1970-12-23,,,,
MSARGT$,1970-12-24,,,,
MSARGT$,1970-12-25,,,,
MSARGT$,1970-12-28,,,,
MSARGT$,1970-12-29,,,,
MSARGT$,1970-12-30,,,,
MSARGT$,1970-12-31,,,,
MSARGT$,1971-01-01,,,,
MSARGT$,1971-01-04,,,,
MSARGT$,1971-01-05,,,,
MSARGT$,1971-01-06,,,,
MSARGT$,1971-01-07,,,,
MSARGT$,1971-01-08,,,,
MSARGT$,1971-01-11,,,,
MSARGT$,1971-01-12,,,,
MSARGT$,1971-01-13,,,,
MSARGT$,1971-01-14,,,,
MSARGT$,1971-01-15,,,,
MSARGT$,1971-01-18,,,,
MSARGT$,1971-01-19,,,,
MSARGT$,1971-01-20,,,,
MSARGT$,1971-01-21,,,,
MSARGT$,1971-01-22,,,,
MSARGT$,1971-01-25,,,,
MSARGT$,1971-01-26,,,,
MSARGT$,1971-01-27,,,,
MSARGT$,1971-01-28,,,,
MSARGT$,1971-01-29,,,,
MSARGT$,1971-02-01,,,,
MSARGT$,1971-02-02,,,,
MSARGT$,1971-02-03,,,,
MSARGT$,1971-02-04,,,,
MSARGT$,1971-02-05,,,,
MSARGT$,1971-02-08,,,,
MSARGT$,1971-02-09,,,,
MSARGT$,1971-02-10,,,,
MSARGT$,1971-02-11,,,,
MSARGT$,1971-02-12,,,,
MSARGT$,1971-02-15,,,,
MSARGT$,1971-02-16,,,,
MSARGT$,1971-02-17,,,,
MSARGT$,1971-02-18,,,,
MSARGT$,1971-02-19,,,,
MSARGT$,1971-02-22,,,,
MSARGT$,1971-02-23,,,,
MSARGT$,1971-02-24,,,,
MSARGT$,1971-02-25,,,,
MSARGT$,1971-02-26,,,,
MSARGT$,1971-03-01,,,,
MSARGT$,1971-03-02,,,,
MSARGT$,1971-03-03,,,,
MSARGT$,1971-03-04,,,,
MSARGT$,1971-03-05,,,,
MSARGT$,1971-03-08,,,,
MSARGT$,1971-03-09,,,,
MSARGT$,1971-03-10,,,,
MSARGT$,1971-03-11,,,,
MSARGT$,1971-03-12,,,,
MSARGT$,1971-03-15,,,,
MSARGT$,1971-03-16,,,,
MSARGT$,1971-03-17,,,,
MSARGT$,1971-03-18,,,,
MSARGT$,1971-03-19,,,,
MSARGT$,1971-03-22,,,,
MSARGT$,1971-03-23,,,,
MSARGT$,1971-03-24,,,,
MSARGT$,1971-03-25,,,,
MSARGT$,1971-03-26,,,,
MSARGT$,1971-03-29,,,,
MSARGT$,1971-03-30,,,,
MSARGT$,1971-03-31,,,,
MSARGT$,1971-04-01,,,,
MSARGT$,1971-04-02,,,,
MSARGT$,1971-04-05,,,,
MSARGT$,1971-04-06,,,,
MSARGT$,1971-04-07,,,,
MSARGT$,1971-04-08,,,,
MSARGT$,1971-04-09,,,,
MSARGT$,1971-04-12,,,,
MSARGT$,1971-04-13,,,,
MSARGT$,1971-04-14,,,,
MSARGT$,1971-04-15,,,,
MSARGT$,1971-04-16,,,,
MSARGT$,1971-04-19,,,,
MSARGT$,1971-04-20,,,,
MSARGT$,1971-04-21,,,,
MSARGT$,1971-04-22,,,,
MSARGT$,1971-04-23,,,,
MSARGT$,1971-04-26,,,,
MSARGT$,1971-04-27,,,,
MSARGT$,1971-04-28,,,,
MSARGT$,1971-04-29,,,,
MSARGT$,1971-04-30,,,,
MSARGT$,1971-05-03,,,,
MSARGT$,1971-05-04,,,,
MSARGT$,1971-05-05,,,,
MSARGT$,1971-05-06,,,,
MSARGT$,1971-05-07,,,,
MSARGT$,1971-05-10,,,,
MSARGT$,1971-05-11,,,,
MSARGT$,1971-05-12,,,,
MSARGT$,1971-05-13,,,,
MSARGT$,1971-05-14,,,,
MSARGT$,1971-05-17,,,,
MSARGT$,1971-05-18,,,,
MSARGT$,1971-05-19,,,,
MSARGT$,1971-05-20,,,,
MSARGT$,1971-05-21,,,,
MSARGT$,1971-05-24,,,,
MSARGT$,1971-05-25,,,,
MSARGT$,1971-05-26,,,,
MSARGT$,1971-05-27,,,,
MSARGT$,1971-05-28,,,,
MSARGT$,1971-05-31,,,,
MSARGT$,1971-06-01,,,,
MSARGT$,1971-06-02,,,,
MSARGT$,1971-06-03,,,,
MSARGT$,1971-06-04,,,,
MSARGT$,1971-06-07,,,,
MSARGT$,1971-06-08,,,,
MSARGT$,1971-06-09,,,,
MSARGT$,1971-06-10,,,,
MSARGT$,1971-06-11,,,,
MSARGT$,1971-06-14,,,,
MSARGT$,1971-06-15,,,,
MSARGT$,1971-06-16,,,,
MSARGT$,1971-06-17,,,,
MSARGT$,1971-06-18,,,,
MSARGT$,1971-06-21,,,,
MSARGT$,1971-06-22,,,,
MSARGT$,1971-06-23,,,,
MSARGT$,1971-06-24,,,,
MSARGT$,1971-06-25,,,,
MSARGT$,1971-06-28,,,,
MSARGT$,1971-06-29,,,,
MSARGT$,1971-06-30,,,,
MSARGT$,1971-07-01,,,,
MSARGT$,1971-07-02,,,,
MSARGT$,1971-07-05,,,,
MSARGT$,1971-07-06,,,,
MSARGT$,1971-07-07,,,,
MSARGT$,1971-07-08,,,,
MSARGT$,1971-07-09,,,,
MSARGT$,1971-07-12,,,,
MSARGT$,1971-07-13,,,,
MSARGT$,1971-07-14,,,,
MSARGT$,1971-07-15,,,,
MSARGT$,1971-07-16,,,,
MSARGT$,1971-07-19,,,,
MSARGT$,1971-07-20,,,,
MSARGT$,1971-07-21,,,,
MSARGT$,1971-07-22,,,,
MSARGT$,1971-07-23,,,,
MSARGT$,1971-07-26,,,,
MSARGT$,1971-07-27,,,,
MSARGT$,1971-07-28,,,,
MSARGT$,1971-07-29,,,,
MSARGT$,1971-07-30,,,,
MSARGT$,1971-08-02,,,,
MSARGT$,1971-08-03,,,,
MSARGT$,1971-08-04,,,,
MSARGT$,1971-08-05,,,,
MSARGT$,1971-08-06,,,,
MSARGT$,1971-08-09,,,,
MSARGT$,1971-08-10,,,,
MSARGT$,1971-08-11,,,,
MSARGT$,1971-08-12,,,,
MSARGT$,1971-08-13,,,,
MSARGT$,1971-08-16,,,,
MSARGT$,1971-08-17,,,,
MSARGT$,1971-08-18,,,,
MSARGT$,1971-08-19,,,,
MSARGT$,1971-08-20,,,,
MSARGT$,1971-08-23,,,,
MSARGT$,1971-08-24,,,,
MSARGT$,1971-08-25,,,,
MSARGT$,1971-08-26,,,,
MSARGT$,1971-08-27,,,,
MSARGT$,1971-08-30,,,,
MSARGT$,1971-08-31,,,,
MSARGT$,1971-09-01,,,,
MSARGT$,1971-09-02,,,,
MSARGT$,1971-09-03,,,,
MSARGT$,1971-09-06,,,,
MSARGT$,1971-09-07,,,,
MSARGT$,1971-09-08,,,,
MSARGT$,1971-09-09,,,,
MSARGT$,1971-09-10,,,,
MSARGT$,1971-09-13,,,,
MSARGT$,1971-09-14,,,,
MSARGT$,1971-09-15,,,,
MSARGT$,1971-09-16,,,,
MSARGT$,1971-09-17,,,,
MSARGT$,1971-09-20,,,,
MSARGT$,1971-09-21,,,,
MSARGT$,1971-09-22,,,,
MSARGT$,1971-09-23,,,,
MSARGT$,1971-09-24,,,,
MSARGT$,1971-09-27,,,,
MSARGT$,1971-09-28,,,,
MSARGT$,1971-09-29,,,,
MSARGT$,1971-09-30,,,,
MSARGT$,1971-10-01,,,,
MSARGT$,1971-10-04,,,,
MSARGT$,1971-10-05,,,,
MSARGT$,1971-10-06,,,,
MSARGT$,1971-10-07,,,,
MSARGT$,1971-10-08,,,,
MSARGT$,1971-10-11,,,,
MSARGT$,1971-10-12,,,,
MSARGT$,1971-10-13,,,,
MSARGT$,1971-10-14,,,,
MSARGT$,1971-10-15,,,,
MSARGT$,1971-10-18,,,,
MSARGT$,1971-10-19,,,,
MSARGT$,1971-10-20,,,,
MSARGT$,1971-10-21,,,,
MSARGT$,1971-10-22,,,,
MSARGT$,1971-10-25,,,,
MSARGT$,1971-10-26,,,,
MSARGT$,1971-10-27,,,,
MSARGT$,1971-10-28,,,,
MSARGT$,1971-10-29,,,,
MSARGT$,1971-11-01,,,,
MSARGT$,1971-11-02,,,,
MSARGT$,1971-11-03,,,,
MSARGT$,1971-11-04,,,,
MSARGT$,1971-11-05,,,,
MSARGT$,1971-11-08,,,,
MSARGT$,1971-11-09,,,,
MSARGT$,1971-11-10,,,,
MSARGT$,1971-11-11,,,,
MSARGT$,1971-11-12,,,,
MSARGT$,1971-11-15,,,,
MSARGT$,1971-11-16,,,,
MSARGT$,1971-11-17,,,,
MSARGT$,1971-11-18,,,,
MSARGT$,1971-11-19,,,,
MSARGT$,1971-11-22,,,,
MSARGT$,1971-11-23,,,,
MSARGT$,1971-11-24,,,,
MSARGT$,1971-11-25,,,,
MSARGT$,1971-11-26,,,,
MSARGT$,1971-11-29,,,,
MSARGT$,1971-11-30,,,,
MSARGT$,1971-12-01,,,,
MSARGT$,1971-12-02,,,,
MSARGT$,1971-12-03,,,,
MSARGT$,1971-12-06,,,,
MSARGT$,1971-12-07,,,,
MSARGT$,1971-12-08,,,,
MSARGT$,1971-12-09,,,,
MSARGT$,1971-12-10,,,,
MSARGT$,1971-12-13,,,,
MSARGT$,1971-12-14,,,,
MSARGT$,1971-12-15,,,,
MSARGT$,1971-12-16,,,,
MSARGT$,1971-12-17,,,,
MSARGT$,1971-12-20,,,,
MSARGT$,1971-12-21,,,,
MSARGT$,1971-12-22,,,,
MSARGT$,1971-12-23,,,,
MSARGT$,1971-12-24,,,,
MSARGT$,1971-12-27,,,,
MSARGT$,1971-12-28,,,,
MSARGT$,1971-12-29,,,,
MSARGT$,1971-12-30,,,,
MSARGT$,1971-12-31,,,,
MSARGT$,1972-01-03,,,,
MSARGT$,1972-01-04,,,,
MSARGT$,1972-01-05,,,,
MSARGT$,1972-01-06,,,,
MSARGT$,1972-01-07,,,,
MSARGT$,1972-01-10,,,,
MSARGT$,1972-01-11,,,,
MSARGT$,1972-01-12,,,,
MSARGT$,1972-01-13,,,,
MSARGT$,1972-01-14,,,,
MSARGT$,1972-01-17,,,,
MSARGT$,1972-01-18,,,,
MSARGT$,1972-01-19,,,,
MSARGT$,1972-01-20,,,,
MSARGT$,1972-01-21,,,,
MSARGT$,1972-01-24,,,,
MSARGT$,1972-01-25,,,,
MSARGT$,1972-01-26,,,,
MSARGT$,1972-01-27,,,,
MSARGT$,1972-01-28,,,,
MSARGT$,1972-01-31,,,,
MSARGT$,1972-02-01,,,,
MSARGT$,1972-02-02,,,,
MSARGT$,1972-02-03,,,,
MSARGT$,1972-02-04,,,,
MSARGT$,1972-02-07,,,,
MSARGT$,1972-02-08,,,,
MSARGT$,1972-02-09,,,,
MSARGT$,1972-02-10,,,,
MSARGT$,1972-02-11,,,,
MSARGT$,1972-02-14,,,,
MSARGT$,1972-02-15,,,,
MSARGT$,1972-02-16,,,,
MSARGT$,1972-02-17,,,,
MSARGT$,1972-02-18,,,,
MSARGT$,1972-02-21,,,,
MSARGT$,1972-02-22,,,,
MSARGT$,1972-02-23,,,,
MSARGT$,1972-02-24,,,,
MSARGT$,1972-02-25,,,,
MSARGT$,1972-02-28,,,,
MSARGT$,1972-02-29,,,,
MSARGT$,1972-03-01,,,,
MSARGT$,1972-03-02,,,,
MSARGT$,1972-03-03,,,,
MSARGT$,1972-03-06,,,,
MSARGT$,1972-03-07,,,,
MSARGT$,1972-03-08,,,,
MSARGT$,1972-03-09,,,,
MSARGT$,1972-03-10,,,,
MSARGT$,1972-03-13,,,,
MSARGT$,1972-03-14,,,,
MSARGT$,1972-03-15,,,,
MSARGT$,1972-03-16,,,,
MSARGT$,1972-03-17,,,,
MSARGT$,1972-03-20,,,,
MSARGT$,1972-03-21,,,,
MSARGT$,1972-03-22,,,,
MSARGT$,1972-03-23,,,,
MSARGT$,1972-03-24,,,,
MSARGT$,1972-03-27,,,,
MSARGT$,1972-03-28,,,,
MSARGT$,1972-03-29,,,,
MSARGT$,1972-03-30,,,,
MSARGT$,1972-03-31,,,,
MSARGT$,1972-04-03,,,,
MSARGT$,1972-04-04,,,,
MSARGT$,1972-04-05,,,,
MSARGT$,1972-04-06,,,,
MSARGT$,1972-04-07,,,,
MSARGT$,1972-04-10,,,,
MSARGT$,1972-04-11,,,,
MSARGT$,1972-04-12,,,,
MSARGT$,1972-04-13,,,,
MSARGT$,1972-04-14,,,,
MSARGT$,1972-04-17,,,,
MSARGT$,1972-04-18,,,,
MSARGT$,1972-04-19,,,,
MSARGT$,1972-04-20,,,,
MSARGT$,1972-04-21,,,,
MSARGT$,1972-04-24,,,,
MSARGT$,1972-04-25,,,,
MSARGT$,1972-04-26,,,,
MSARGT$,1972-04-27,,,,
MSARGT$,1972-04-28,,,,
MSARGT$,1972-05-01,,,,
MSARGT$,1972-05-02,,,,
MSARGT$,1972-05-03,,,,
MSARGT$,1972-05-04,,,,
MSARGT$,1972-05-05,,,,
MSARGT$,1972-05-08,,,,
MSARGT$,1972-05-09,,,,
MSARGT$,1972-05-10,,,,
MSARGT$,1972-05-11,,,,
MSARGT$,1972-05-12,,,,
MSARGT$,1972-05-15,,,,
MSARGT$,1972-05-16,,,,
MSARGT$,1972-05-17,,,,
MSARGT$,1972-05-18,,,,
MSARGT$,1972-05-19,,,,
MSARGT$,1972-05-22,,,,
MSARGT$,1972-05-23,,,,
MSARGT$,1972-05-24,,,,
MSARGT$,1972-05-25,,,,
MSARGT$,1972-05-26,,,,
MSARGT$,1972-05-29,,,,
MSARGT$,1972-05-30,,,,
MSARGT$,1972-05-31,,,,
MSARGT$,1972-06-01,,,,
MSARGT$,1972-06-02,,,,
MSARGT$,1972-06-05,,,,
MSARGT$,1972-06-06,,,,
MSARGT$,1972-06-07,,,,
MSARGT$,1972-06-08,,,,
MSARGT$,1972-06-09,,,,
MSARGT$,1972-06-12,,,,
MSARGT$,1972-06-13,,,,
MSARGT$,1972-06-14,,,,
MSARGT$,1972-06-15,,,,
MSARGT$,1972-06-16,,,,
MSARGT$,1972-06-19,,,,
MSARGT$,1972-06-20,,,,
MSARGT$,1972-06-21,,,,
MSARGT$,1972-06-22,,,,
MSARGT$,1972-06-23,,,,
MSARGT$,1972-06-26,,,,
MSARGT$,1972-06-27,,,,
MSARGT$,1972-06-28,,,,
MSARGT$,1972-06-29,,,,
MSARGT$,1972-06-30,,,,
MSARGT$,1972-07-03,,,,
MSARGT$,1972-07-04,,,,
MSARGT$,1972-07-05,,,,
MSARGT$,1972-07-06,,,,
MSARGT$,1972-07-07,,,,
MSARGT$,1972-07-10,,,,
MSARGT$,1972-07-11,,,,
MSARGT$,1972-07-12,,,,
MSARGT$,1972-07-13,,,,
MSARGT$,1972-07-14,,,,
MSARGT$,1972-07-17,,,,
MSARGT$,1972-07-18,,,,
MSARGT$,1972-07-19,,,,
MSARGT$,1972-07-20,,,,
MSARGT$,1972-07-21,,,,
MSARGT$,1972-07-24,,,,
MSARGT$,1972-07-25,,,,
MSARGT$,1972-07-26,,,,
MSARGT$,1972-07-27,,,,
MSARGT$,1972-07-28,,,,
MSARGT$,1972-07-31,,,,
MSARGT$,1972-08-01,,,,
MSARGT$,1972-08-02,,,,
MSARGT$,1972-08-03,,,,
MSARGT$,1972-08-04,,,,
MSARGT$,1972-08-07,,,,
MSARGT$,1972-08-08,,,,
MSARGT$,1972-08-09,,,,
MSARGT$,1972-08-10,,,,
MSARGT$,1972-08-11,,,,
MSARGT$,1972-08-14,,,,
MSARGT$,1972-08-15,,,,
MSARGT$,1972-08-16,,,,
MSARGT$,1972-08-17,,,,
MSARGT$,1972-08-18,,,,
MSARGT$,1972-08-21,,,,
MSARGT$,1972-08-22,,,,
MSARGT$,1972-08-23,,,,
MSARGT$,1972-08-24,,,,
MSARGT$,1972-08-25,,,,
MSARGT$,1972-08-28,,,,
MSARGT$,1972-08-29,,,,
MSARGT$,1972-08-30,,,,
MSARGT$,1972-08-31,,,,
MSARGT$,1972-09-01,,,,
MSARGT$,1972-09-04,,,,
MSARGT$,1972-09-05,,,,
MSARGT$,1972-09-06,,,,
MSARGT$,1972-09-07,,,,
MSARGT$,1972-09-08,,,,
MSARGT$,1972-09-11,,,,
MSARGT$,1972-09-12,,,,
MSARGT$,1972-09-13,,,,
MSARGT$,1972-09-14,,,,
MSARGT$,1972-09-15,,,,
MSARGT$,1972-09-18,,,,
MSARGT$,1972-09-19,,,,
MSARGT$,1972-09-20,,,,
MSARGT$,1972-09-21,,,,
MSARGT$,1972-09-22,,,,
MSARGT$,1972-09-25,,,,
MSARGT$,1972-09-26,,,,
MSARGT$,1972-09-27,,,,
MSARGT$,1972-09-28,,,,
MSARGT$,1972-09-29,,,,
MSARGT$,1972-10-02,,,,
MSARGT$,1972-10-03,,,,
MSARGT$,1972-10-04,,,,
MSARGT$,1972-10-05,,,,
MSARGT$,1972-10-06,,,,
MSARGT$,1972-10-09,,,,
MSARGT$,1972-10-10,,,,
MSARGT$,1972-10-11,,,,
MSARGT$,1972-10-12,,,,
MSARGT$,1972-10-13,,,,
MSARGT$,1972-10-16,,,,
MSARGT$,1972-10-17,,,,
MSARGT$,1972-10-18,,,,
MSARGT$,1972-10-19,,,,
MSARGT$,1972-10-20,,,,
MSARGT$,1972-10-23,,,,
MSARGT$,1972-10-24,,,,
MSARGT$,1972-10-25,,,,
MSARGT$,1972-10-26,,,,
MSARGT$,1972-10-27,,,,
MSARGT$,1972-10-30,,,,
MSARGT$,1972-10-31,,,,
MSARGT$,1972-11-01,,,,
MSARGT$,1972-11-02,,,,
MSARGT$,1972-11-03,,,,
MSARGT$,1972-11-06,,,,
MSARGT$,1972-11-07,,,,
MSARGT$,1972-11-08,,,,
MSARGT$,1972-11-09,,,,
MSARGT$,1972-11-10,,,,
MSARGT$,1972-11-13,,,,
MSARGT$,1972-11-14,,,,
MSARGT$,1972-11-15,,,,
MSARGT$,1972-11-16,,,,
MSARGT$,1972-11-17,,,,
MSARGT$,1972-11-20,,,,
MSARGT$,1972-11-21,,,,
MSARGT$,1972-11-22,,,,
MSARGT$,1972-11-23,,,,
MSARGT$,1972-11-24,,,,
MSARGT$,1972-11-27,,,,
MSARGT$,1972-11-28,,,,
MSARGT$,1972-11-29,,,,
MSARGT$,1972-11-30,,,,
MSARGT$,1972-12-01,,,,
MSARGT$,1972-12-04,,,,
MSARGT$,1972-12-05,,,,
MSARGT$,1972-12-06,,,,
MSARGT$,1972-12-07,,,,
MSARGT$,1972-12-08,,,,
MSARGT$,1972-12-11,,,,
MSARGT$,1972-12-12,,,,
MSARGT$,1972-12-13,,,,
MSARGT$,1972-12-14,,,,
MSARGT$,1972-12-15,,,,
MSARGT$,1972-12-18,,,,
MSARGT$,1972-12-19,,,,
MSARGT$,1972-12-20,,,,
MSARGT$,1972-12-21,,,,
